Filename	Label	seg_Start	seg_End	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF2_mean	pF2_means001	pF2_means002	pF2_means003	
RUB2.mat	"u22"	270.377	409.336	403.493	414.970	458.537	338.839	2423.008	1702.572	2738.031	2830.322	
RUH.mat	"u22"	234.704	360.945	652.656	503.978	536.653	911.785	2976.629	2867.939	3078.714	3000.194	
RUZI.mat	"u22"	161.858	417.146	776.196	494.881	468.638	1361.457	2676.956	2577.582	2074.064	3379.696	
RUZI.mat	"i22"	481.288	699.373	599.843	578.080	349.830	868.641	2882.311	2955.728	2755.836	2933.461	
SALOE.mat	"a22"	243.830	354.346	762.894	710.130	814.254	765.850	1347.243	1400.098	1358.311	1283.817	
SALOE.mat	"o22"	448.004	603.476	636.752	591.222	599.567	720.607	2910.690	2815.435	2997.972	2923.826	
SALOE.mat	"e22"	603.476	833.874	747.113	594.014	499.241	1141.716	2355.291	1927.886	2414.130	2724.331	
SESQE.mat	"e22"	979.474	1066.109	766.355	423.710	803.082	1105.783	2656.010	2356.430	2552.589	3063.265	
SESQE.mat	"e22"	1305.801	1487.735	754.341	604.065	509.328	1139.389	2393.890	2099.499	2313.664	2761.807	
SEXTRAH.mat	"e22"	564.116	642.632	630.023	671.478	712.662	513.885	2373.843	1983.058	3055.927	2145.500	
SEXTRAH.mat	"ah22"	1001.566	1122.145	818.032	738.343	708.331	1001.088	1702.672	1176.020	1147.977	2751.981	
SHEMRAH.mat	"e22"	230.064	278.096	572.753	450.754	604.251	666.458	1956.156	2309.287	2002.271	1543.630	
SHEMRAH.mat	"ah22"	558.285	672.648	771.137	736.877	695.850	881.375	1545.020	1365.605	1233.099	2019.471	
SHXXWAHWAH.mat	"xx22"	227.542	354.791	431.800	429.839	393.703	469.161	2916.174	2496.316	3133.357	3120.565	
SHXXWAHWAH.mat	"ah22"	411.144	594.747	875.892	897.145	911.379	819.227	1511.307	1414.722	1408.416	1708.535	
SHXXWAHWAH.mat	"ah22"	674.733	832.886	657.145	584.530	646.641	735.979	2020.452	1951.253	1588.591	2473.486	
SHXXWAHWE.mat	"xx22"	499.034	627.785	472.151	503.489	470.246	444.040	3091.272	2847.715	3028.531	3400.110	
SHXXWAHWE.mat	"ah22"	748.318	992.123	916.173	951.237	950.361	845.994	1833.395	1194.950	1294.235	3001.446	
SHXXWAHWE.mat	"e22"	1096.219	1287.976	729.714	533.216	475.444	1172.550	2527.696	2351.768	2363.782	2861.721	
SIWAH.mat	"i22"	395.200	632.122	385.082	358.036	332.094	463.919	2662.861	2654.241	2684.664	2650.223	
SIWAH.mat	"ah22"	714.949	874.824	797.690	844.570	766.440	773.184	2968.262	3074.962	3261.055	2531.177	
SOL.mat	"o22"	448.292	738.382	566.774	584.532	624.813	491.137	3066.218	2803.777	3277.152	3122.390	
SOMAH.mat	"o22"	189.498	431.765	701.248	803.231	737.332	557.861	3082.690	3092.122	3202.782	2928.038	
SOMAH.mat	"ah22"	509.516	654.876	917.119	818.900	869.014	1046.761	3274.525	3313.987	3116.346	3347.729	
SXXBOTAH.mat	"xx22"	451.805	541.059	672.128	578.475	632.374	800.005	2566.105	1891.740	2926.792	2904.519	
SXXBOTAH.mat	"o22"	607.362	780.770	538.100	531.498	468.522	607.702	2517.320	2389.197	2293.663	2800.602	
SXXBOTAH.mat	"ah22"	905.725	1051.082	821.206	817.631	915.729	726.632	2670.902	3159.218	3440.718	1429.784	
SXXLOLAH.mat	"xx22"	512.114	668.656	577.600	774.102	533.905	429.953	3167.855	2997.076	3132.081	3374.322	
SXXLOLAH.mat	"o22"	684.712	933.573	580.919	578.496	619.715	544.661	3281.774	3260.139	3356.964	3229.227	
SXXLOLAH.mat	"ah22"	975.719	1132.261	826.689	642.855	834.948	1004.068	3194.083	3074.540	3326.528	3184.624	
SXXWELE2.mat	"xx22"	235.848	285.764	478.180	469.654	486.605	479.611	2478.701	1825.879	2391.482	3190.364	
SXXWELE2.mat	"e22"	429.707	557.399	520.090	512.270	487.963	559.673	2301.562	2205.939	2426.401	2273.529	
SXXWELE2.mat	"e22"	651.427	716.434	1081.744	1046.266	576.695	1598.907	2574.420	2705.241	1976.001	3009.418	
SXXWELE3.mat	"xx22"	426.554	481.543	596.898	480.773	647.577	661.216	2415.189	1242.498	2810.491	3122.718	
SXXWELE3.mat	"e22"	566.318	747.322	502.901	529.117	500.211	478.801	2270.553	2116.100	2417.034	2283.669	
SXXWELE3.mat	"e22"	836.679	912.289	1110.293	580.553	845.189	1909.325	2473.113	1813.521	2323.625	3282.429	
SXXWELE4.mat	"xx22"	192.635	246.153	641.471	657.951	671.155	597.118	2755.154	2043.502	2842.159	3305.034	
SXXWELE4.mat	"e22"	348.636	553.602	597.643	670.721	554.571	567.127	2130.840	2286.569	2212.769	1898.120	
SXXWELE4.mat	"e22"	625.341	732.378	980.260	881.662	551.153	1499.540	2526.496	2491.324	2142.779	2934.005	
SXXYOT.mat	"xx22"	291.132	372.269	2195.202	2069.618	2055.984	2460.571	3744.486	4038.105	3685.008	3516.711	
SXXYOT.mat	"o22"	497.803	655.486	659.382	539.635	642.013	794.612	2634.829	2516.447	2705.594	2677.945	
SXXYOT2.mat	"xx22"	406.490	461.021	2581.274	2382.231	2428.120	2937.330	3942.523	4097.094	3874.569	3846.867	
SXXYOT2.mat	"o22"	543.760	716.757	650.007	629.946	661.636	656.520	2554.072	2559.285	2594.230	2464.617	
SYOT.mat	"o22"	488.618	649.362	600.825	512.461	646.960	644.429	2615.855	2434.005	2935.848	2449.369	
SYOT2.mat	"o22"	536.238	714.877	625.572	601.915	668.300	610.231	2538.929	2630.700	2612.197	2369.981	
TAHLAHNAH2.mat	"ah22"	388.313	534.050	760.553	831.050	918.175	541.636	2437.498	2536.049	3128.759	1690.008	
TAHLAHNAH2.mat	"ah22"	604.950	811.739	1007.359	931.739	1089.111	998.171	2192.727	1086.187	2941.755	2553.130	
TAHLAHNAH2.mat	"ah22"	898.394	1040.193	1095.573	1285.562	999.507	998.302	3212.892	3206.554	3232.344	3198.745	
TAHLANAH.mat	"ah22"	268.768	393.756	713.486	701.699	752.886	687.974	2970.487	2885.787	3192.399	2838.309	
TAHLANAH.mat	"a22"	471.618	715.448	790.871	763.540	700.707	905.196	1664.193	1141.697	1363.776	2479.655	
TAHLANAH.mat	"ah22"	778.967	955.180	937.031	759.099	999.781	1059.005	2870.266	2326.387	3067.476	3233.421	
TAHLANAH3.mat	TAHLANAH3.mat	1.000	996.000	973.257	1203.580	925.409	794.658	3007.832	2987.956	3233.933	2785.921	
TAHYFAH.mat	"ah22"	93.071	150.911	684.897	748.335	685.111	624.934	1445.473	1657.473	1246.715	1420.757	
TAHYFAH.mat	"ah22"	435.382	565.516	763.512	747.199	807.713	738.360	1217.625	1100.692	1479.925	1120.839	
TENAH2.mat	"e22"	1318.848	1509.280	444.674	520.827	496.721	316.930	2270.816	2397.495	2310.124	2105.264	
TENAH2.mat	"ah22"	1584.451	1749.827	1008.706	820.426	1022.471	1181.277	2725.746	2053.009	2823.423	3296.387	
TEXMMA.mat	"ex22"	764.283	818.252	624.176	595.779	636.759	641.348	1666.405	1898.421	1814.823	1292.086	
TEXMMA.mat	"ah22"	1068.668	1254.321	740.456	651.938	584.794	981.396	1998.921	1074.647	1555.168	3361.238	
TINAH.mat	"i22"	493.853	705.951	342.373	326.073	346.285	354.823	2700.540	2722.958	2709.446	2669.094	
TINAH.mat	"ah22"	781.550	953.748	697.988	440.597	552.290	1095.902	2274.346	1802.451	1624.537	3380.489	
TOR.mat	"o22"	169.575	415.028	615.613	606.902	689.690	551.635	3143.013	3130.083	3080.297	3218.253	
TOR2.mat	"o22"	293.388	548.590	602.672	656.800	636.903	514.960	2206.760	2878.006	2496.742	1257.985	
TORE.mat	"o22"	420.752	653.871	773.826	456.435	538.280	1316.658	2202.525	1644.134	2134.360	2819.210	
TORE.mat	"e22"	717.630	896.952	0	0	0	0	0	0	0	0	
TORE2.mat	"o22"	426.729	659.848	691.489	701.042	633.917	739.921	2618.379	3254.552	2416.170	2199.280	
TORE2.mat	"e22"	711.652	902.930	644.067	563.425	551.998	812.811	2342.071	2069.520	2332.724	2618.760	
TORE3.mat	"o22"	234.962	438.873	1452.377	1715.966	1446.549	1191.499	3203.495	3266.100	2989.732	3348.172	
TORE3.mat	"e22"	497.291	627.353	678.953	610.954	679.385	748.359	2493.746	2137.009	2876.668	2497.978	
TOREV.mat	"o22"	250.528	440.856	642.392	598.811	659.502	671.391	2598.508	2650.852	3114.313	2060.043	
