Filename,Segment,F1,F2
XĖNPNÂ-twohandfuls_s1,ɑ22,605.2002135,1528.041503
XĖPNÂ2_s1,ə22,543.1078301,1332.875208
XĖPNÂ2_s1,ɑ22,457.5632052,1245.313288
XĖPNÂ3_s1,ə22,526.8278187,1199.119777
XĖPNÂ3_s1,ɑ22,678.4040642,1502.21437
XĖRXĖRÂ-trachea_s1,ə22,568.2479144,1425.51816
XĖRXĖRÂ-trachea_s1,ə22,564.1078709,1359.554728
XĖRXĖRÂ-trachea_s1,ɑ22,673.0121919,1181.083878
XĖRXĖRÂ2_s1,ə22,544.5285237,1476.578814
XĖRXĖRÂ2_s1,ə22,588.2967378,1373.080687
XĖRXĖRÂ2_s1,ɑ22,683.1303938,1219.190505
XĖSLÂ-harvest_s1,ə22,460.178148,1407.474039
XĖSLÂ-harvest_s1,ɑ22,657.9854468,1284.431925
XĖTTE-wheat_s1,ə22,495.49468,1457.173628
XĖTTE-wheat_s1,ɛ22,497.77664,2004.895545
YÂRÂ-wound_s1,ɑ22,577.2794147,1151.451334
YÂRÂ-wound_s1,ɑ22,605.6003627,1143.704541
YÂRÂ2_s1,ɑ22,612.9776132,1275.400429
YÂRÂ2_s1,ɑ22,589.6571526,1171.434473
YÂRÂ3_s1,ɑ22,585.3665743,1327.472297
YÂRÂ3_s1,ɑ22,646.0013829,1158.671631
YĒQERRI-Idug_s1,ē22,481.4408075,1890.291427
YĒQERRI-Idug_s1,ɛ22,538.2030617,1872.574979
YĒQERRI-Idug_s1,i22,321.1514057,2513.254227
arâ-ground_s1,æ11,745.4415978,1832.545495
arâ-ground_s1,ɑ11,589.6511969,1174.275251
axni-we_s1,æ11,840.4271111,1855.679712
axni-we_s1,i11,401.4213962,2577.252229
bali-mymind_s1,æ11,781.8939288,1338.618705
bali-mymind_s1,i11,325.9544219,2688.570686
bamâ-why_s1,æ11,717.1653321,1309.226521
bamâ-why_s1,ɑ22,431.8277146,1016.414931
bastâ-package_s1,æ11,686.0992083,1825.81284
bastâ-package_s1,ɑ11,583.4593341,1346.825566
baxtâ-woman_s1,æ11,766.3788171,1806.9539
baxtâ-woman_s1,ɑ11,568.8687395,1246.884855
belâ-house_s1,ɛ11,494.0578909,2093.817924
belâ-house_s1,ɑ11,613.4798322,1166.552985
belâ2_s1,ɛ11,485.9263335,2124.931433
belâ2_s1,ɑ11,631.4107303,1239.354678
blane-daughters_girls_s1,æ11,664.896563,1400.186727
blane-daughters_girls_s1,ɛ11,400.1236414,2197.591958
blane2_s1,æ11,649.4627066,1352.761721
blane2_s1,ɛ11,376.9992201,2382.112845
buz-spill_pour,ʉ11,317.3929892,1941.959648
dewâ-wolf_s1,ɛ11,463.4849778,2200.769438
dewâ-wolf_s1,ɑ11,559.5683635,1065.2065
diNÂR-currency_s1,i13,272.5554415,2530.401899
diNÂR-currency_s1,ɑ33,647.0246312,1268.739902
diNÂR2_s1,i13,375.0811524,2487.040313
diNÂR2_s1,ɑ33,468.5839721,1341.024562
diNÂR3_s1,i13,273.8457987,2496.719848
